bankCode;branchCode;bic;bankName;postalCode;city;flags
18470;;CCMTFR21XXX;Caisse de crédit municipal de Nantes;44006;Nantes Cedex 1;
18530;;;Natiocredimurs, société en nom collectif;92000;NANTERRE;
18569;;BMISFRPPXXX;Banque Misr;75008;PARIS 08;
18610;;;Compagnie pour la location de véhicules - CLV;78307;POISSY Cedex;
13369;;BMMMFRCPXXX;ROTHSCHILD & CO MARTIN MAUREL;75008;PARIS 08;
18689;;FRAFFRPPXXX;Fransabank France S.A.;75008;PARIS 08;
18706;;AGRIFRPP887;Caisse régionale de crédit agricole mutuel Brie Picardie;80095;AMIENS CEDEX 3;
18707;;;Banque populaire Val de France (2ème du nom);78180;MONTIGNY LE BRETONNEUX;
18715;;;Caisse d'épargne et de prévoyance d'Auvergne et du Limousin;63000;CLERMONT FERRAND;
18719;;BFCORERXXXX;Banque Française Commerciale Océan Indien;97404;ST DENIS CEDEX;
18759;;EFGBMCMCXXX;EFG Bank (Monaco);98000;MONACO;
18769;;BKCHFRPPXXX;Bank of China limited;75116;PARIS 16;
18789;;ICBCFRPPXXX;Mega international commercial bank Co, Ltd;92800;PUTEAUX;
