bankCode,bic,bankName,postalCode,city,flags
00722,ZKBKCHZZ80A,Zürcher Kantonalbank,8450,Andelfingen,
00723,ZKBKCHZZ80A,Zürcher Kantonalbank,8494,Bauma,
00724,ZKBKCHZZ80A,Zürcher Kantonalbank,8180,Bülach,
00725,ZKBKCHZZ80A,Zürcher Kantonalbank,8157,Dielsdorf,
00726,ZKBKCHZZ80A,Zürcher Kantonalbank,8810,Horgen 1,
00727,ZKBKCHZZ80A,Zürcher Kantonalbank,8706,Meilen,
00728,ZKBKCHZZ80A,Zürcher Kantonalbank,8050,Zürich,
00729,ZKBKCHZZ80A,Zürcher Kantonalbank,8630,Rüti ZH,
00730,ZKBKCHZZ80A,Zürcher Kantonalbank,8610,Uster 1,
00731,ZKBKCHZZ80A,Zürcher Kantonalbank,8636,Wald ZH,
00732,ZKBKCHZZ80A,Zürcher Kantonalbank,8401,Winterthur,
00733,ZKBKCHZZ80A,Zürcher Kantonalbank,8307,Effretikon,
00734,ZKBKCHZZ80A,Zürcher Kantonalbank,8053,Zürich,
00735,ZKBKCHZZ80A,Zürcher Kantonalbank,8132,Egg b. Zürich,
00736,ZKBKCHZZ80A,Zürcher Kantonalbank,8049,Zürich,
00737,ZKBKCHZZ80A,Zürcher Kantonalbank,8032,Zürich,
00738,ZKBKCHZZ80A,Zürcher Kantonalbank,8152,Glattbrugg,
00739,ZKBKCHZZ80A,Zürcher Kantonalbank,8634,Hombrechtikon,
00740,ZKBKCHZZ80A,Zürcher Kantonalbank,8600,Dübendorf 1,
00741,ZKBKCHZZ80A,Zürcher Kantonalbank,8193,Eglisau,
00742,ZKBKCHZZ80A,Zürcher Kantonalbank,8320,Fehraltorf,
00743,ZKBKCHZZ80A,Zürcher Kantonalbank,8245,Feuerthalen,
00744,ZKBKCHZZ80A,Zürcher Kantonalbank,8302,Kloten,
00745,ZKBKCHZZ80A,Zürcher Kantonalbank,8700,Küsnacht ZH,
00746,ZKBKCHZZ80A,Zürcher Kantonalbank,8708,Männedorf,
00747,ZKBKCHZZ80A,Zürcher Kantonalbank,8805,Richterswil,
00748,ZKBKCHZZ80A,Zürcher Kantonalbank,8952,Schlieren,
00749,ZKBKCHZZ80A,Zürcher Kantonalbank,8800,Thalwil,
00750,ZKBKCHZZ80A,Zürcher Kantonalbank,8488,Turbenthal,
00751,ZKBKCHZZ80A,Zürcher Kantonalbank,8304,Wallisellen,
00752,ZKBKCHZZ80A,Zürcher Kantonalbank,8330,Pfäffikon ZH,
00753,ZKBKCHZZ80A,Zürcher Kantonalbank,8404,Winterthur,
00754,ZKBKCHZZ80A,Zürcher Kantonalbank,8340,Hinwil,
00755,ZKBKCHZZ80A,Zürcher Kantonalbank,8622,Wetzikon ZH 2,
00756,ZKBKCHZZ80A,Zürcher Kantonalbank,8105,Regensdorf 1,
00757,ZKBKCHZZ80A,Zürcher Kantonalbank,8820,Wädenswil,
00758,ZKBKCHZZ80A,Zürcher Kantonalbank,8134,Adliswil 1,
